file_name,video,start,end,duration,whisper_text,corrected_text,was_edited
clips/dymke8_sobe_000000.wav,DYmKe8-soBe.mp4,0.0,2.42,2.42,Како стигнав тука? Те носам со мене.,Како стигнав тука? Те носам со мене.,no
clips/dymke8_sobe_000001.wav,DYmKe8-soBe.mp4,2.44,5.06,2.62,Пасошка контрола и сум заборавила карта.,Пасошка контрола и сум заборавила карта.,no
clips/dymke8_sobe_000002.wav,DYmKe8-soBe.mp4,5.99,7.41,1.42,Одиме во Задар.,Одиме во Задар.,no
clips/dymke8_sobe_000003.wav,DYmKe8-soBe.mp4,7.77,10.33,2.56,"Преубав резорт, сега ви правам рум тур.","Преубав резорт, сега ви правам рум тур.",no
clips/dymke8_sobe_000004.wav,DYmKe8-soBe.mp4,10.85,12.89,2.04,Не дочекаа сто подароци.,Не дочекаа сто подароци.,no
clips/dymke8_sobe_000005.wav,DYmKe8-soBe.mp4,13.53,15.17,1.64,И почнав мене се спрема.,И почнавме да се спремаме.,yes
clips/dymke8_sobe_000006.wav,DYmKe8-soBe.mp4,15.69,17.95,2.26,"Епа, тука имаме и приватен фризер.","Епа, тука имаме и приватен фризер.",no
clips/dymke8_sobe_000007.wav,DYmKe8-soBe.mp4,18.05,19.69,1.64,Еве ја козата и шминката.,Еве ја косата и шминката.,yes
clips/dymke8_sobe_000008.wav,DYmKe8-soBe.mp4,19.93,23.59,3.66,Погледнете и купачите од новата колекција на лица преобави се.,Погледнете ги купачите од новата колекција на лисца преубави се.,yes
clips/dymke8_sobe_000009.wav,DYmKe8-soBe.mp4,24.41,26.37,1.96,Одиме на pool party.,Одиме на pool party.,no
clips/dymke8_sobe_000010.wav,DYmKe8-soBe.mp4,26.53,28.73,2.2,Каква организација направила?,Каква организација направиле?,yes
clips/dymke8_sobe_000011.wav,DYmKe8-soBe.mp4,28.73,31.61,2.88,И некој целиот концепт е ладолчевијата.,Инкау целиот концепт е Ла долче вита.,yes
clips/dymke8_sobe_000013.wav,DYmKe8-soBe.mp4,36.16,40.65,4.49,"Тука не фоткаа, едвај чекам да видам.","Тука не фоткаа, едвај чекам да видам.",no
clips/dymke8_sobe_000014.wav,DYmKe8-soBe.mp4,40.95,42.89,1.94,Малку и позерски видеа.,Малку и позерски видеа.,no
clips/dymke8_sobe_000017.wav,DYmKe8-soBe.mp4,48.34,51.15,2.81,И време е за Круз.,И време е за Круз.,no
clips/dymke8_sobe_000018.wav,DYmKe8-soBe.mp4,51.49,54.89,3.4,И некако целата атмосфера имаше неверојатен вајб.,И некако целата атмосфера имаше неверојатен вајб.,no
clips/dymke8_sobe_000019.wav,DYmKe8-soBe.mp4,55.59,57.47,1.88,Ове бикини се wow.,Овие бикини се wow.,yes
clips/dymke8_sobe_000020.wav,DYmKe8-soBe.mp4,58.46,60.52,2.06,Уживавме сите и се фоткавме.,Уживавме сите и се фоткавме.,no
clips/dymke8_sobe_000021.wav,DYmKe8-soBe.mp4,61.34,62.66,1.32,Доаѓа и Меткала.,Доаѓа и Мет Гала.,yes
clips/dymke8_sobe_000022.wav,DYmKe8-soBe.mp4,62.66,70.28,7.62,"Погледнете што се ни приреди Лисца. Сансет руфтоп, преубава атмосфера и фотки што испаднаа врв.","Погледнете што се ни приреди Лисца. Сансет руфтоп, преубава атмосфера и фотки што испаднаа врв.",no
clips/dymke8_sobe_000023.wav,DYmKe8-soBe.mp4,70.38,73.86,3.48,И вечерата беше вистинско little art experience.,И вечерата беше вистинско little art experience.,no
clips/dymke8_sobe_000024.wav,DYmKe8-soBe.mp4,74.42,79.1,4.68,Да го поздравам и шефот. Целото искусство вредеше да се сподели со вас.,Да го поздравам и шефот. Целото искусство вредеше да се сподели со вас.,no
clips/dzmjdp9o7hn_000000.wav,DZmjdp9O7hN.mp4,0.0,2.78,2.78,Ве носам со мене на Мали Лошин.,Ве носам со мене на Мали Лошин.,no
clips/dzmjdp9o7hn_000001.wav,DZmjdp9O7hN.mp4,2.9,6.6,3.7,Рано наутро тргнавме за Загреб и јас пообичај заспав.,Рано наутро тргнавме за Загреб и јас пообичај заспав.,no
clips/dzmjdp9o7hn_000002.wav,DZmjdp9O7hN.mp4,6.74,9.96,3.22,Не дирај лава док спава и пренервозна сум.,Не дирај лава док спава и пренервозна сум.,no
clips/dzmjdp9o7hn_000003.wav,DZmjdp9O7hN.mp4,11.54,14.46,2.92,Стигнавме и Индитекс не пречекаа како кралеви.,Стигнавме и Индитекс не пречекаа како кралеви.,no
clips/dzmjdp9o7hn_000004.wav,DZmjdp9O7hN.mp4,15.85,18.45,2.6,Утре дента ги ставивме куферите и тргнавме.,Утре дента ги ставивме куферите и тргнавме.,no
clips/dzmjdp9o7hn_000005.wav,DZmjdp9O7hN.mp4,22.01,24.17,2.16,"Затоа што е остров, моравме и со траект.","Затоа што е остров, моравме и со траект.",no
clips/dzmjdp9o7hn_000006.wav,DZmjdp9O7hN.mp4,24.39,28.55,4.16,"Што од самиот момент кога стигнавме, знаевме дека не очекува нешто посебно.","Што од самиот момент кога стигнавме, знаевме дека не очекува нешто посебно.",no
clips/dzmjdp9o7hn_000007.wav,DZmjdp9O7hN.mp4,28.79,32.55,3.76,"Коктели од лаванда, а хотел од вистински медитерански рај.","Коктели од лаванда, а хотел од вистински медитерански рај.",no
clips/dzmjdp9o7hn_000008.wav,DZmjdp9O7hN.mp4,32.55,37.75,5.2,"И одиме со рум тур, собата е преубава и погледот.","И одиме со рум тур, собата е преубава и погледот.",no
clips/dzmjdp9o7hn_000009.wav,DZmjdp9O7hN.mp4,38.15,42.11,3.96,"Спремиле и поклони, мислеле буквално на секој детал.","Спремиле и поклони, мислеле буквално на секој детал.",no
clips/dzmjdp9o7hn_000010.wav,DZmjdp9O7hN.mp4,42.25,45.91,3.66,"А за тие што не знаат, Индитекс е групација на Бершка, Зара,","А за тие што не знаат, Индитекс е групација на Бершка, Зара,",no
clips/dzmjdp9o7hn_000011.wav,DZmjdp9O7hN.mp4,46.09,49.13,3.04,"Страдивариус, Пулембеар, Масимо Дути.","Страдивариус, Пулембеар, Масимо Дути.",no
clips/dzmjdp9o7hn_000012.wav,DZmjdp9O7hN.mp4,49.23,50.85,1.62,Патилото исто преубава.,Купатилото исто преубаво.,yes
clips/dzmjdp9o7hn_000013.wav,DZmjdp9O7hN.mp4,52.12,55.84,3.72,"Имам еден аутфит, сега ќе ви го покажам и одиме на,","Имам еден аутфит, сега ќе ви го покажам и одиме на,",no
clips/dzmjdp9o7hn_000014.wav,DZmjdp9O7hN.mp4,55.98,59.88,3.9,"не знам што е во агендала сега, ама ќе ви го покажам.","не знам што е во агендава сега, ама ќе ви покажам.",yes
clips/dzmjdp9o7hn_000015.wav,DZmjdp9O7hN.mp4,59.96,62.06,2.1,Ова е првиот аутфит за денеска.,Ова е првиот аутфит за денеска.,no
clips/dzmjdp9o7hn_000016.wav,DZmjdp9O7hN.mp4,62.06,66.82,4.76,И сега се упатуваме кон шоурумот за пообаво да ги запознаеме брендовите.,И сега се упатуваме кон шоурумот за пообаво да ги запознаеме брендовите.,no
clips/dzmjdp9o7hn_000017.wav,DZmjdp9O7hN.mp4,66.9,70.6,3.7,"Не послужија шампанј, чирс и си помуабетивме.","Не послужија шампанј, чирс и си помуабетивме.",no
clips/dzmjdp9o7hn_000018.wav,DZmjdp9O7hN.mp4,70.74,73.08,2.34,А сега одиме да се спремиме за вечера.,А сега одиме да се спремиме за вечера.,no
